transaction_id,customer_id,employee_id,transaction_date,category,amount,payment_method,status
1,81,39,2024-09-02,Software,11962.52,UPI,REFUNDED
2,53,6,2024-08-18,Electronics,34662.45,UPI,SUCCESS
3,64,46,2024-10-25,Home,52935.33,Cash,FAILED
4,61,16,2025-04-12,Home,10933.68,Card,REFUNDED
5,66,48,2024-05-19,Electronics,20790.93,Cash,SUCCESS
6,65,18,2024-01-03,Travel,54481.22,Cash,SUCCESS
7,58,35,2025-05-10,Travel,24999.75,Cash,FAILED
8,42,13,2025-12-15,Grocery,42927.64,Card,FAILED
9,6,21,2025-04-29,Software,68515.92,Cash,FAILED
10,85,42,2024-06-04,Fashion,72365.35,Card,REFUNDED
11,76,22,2024-04-12,Fashion,7568.41,Cash,SUCCESS
12,93,10,2025-02-23,Software,72749.76,UPI,FAILED
13,34,22,2025-09-30,Software,29871.5,UPI,SUCCESS
14,87,35,2025-01-24,Travel,47047.26,Cash,REFUNDED
15,5,40,2024-03-11,Grocery,47373.96,NetBanking,SUCCESS
16,96,6,2025-03-20,Electronics,57051.69,UPI,FAILED
17,22,45,2024-11-02,Electronics,3544.72,UPI,SUCCESS
18,46,24,2025-03-17,Grocery,18390.39,Cash,REFUNDED
19,88,12,2024-06-23,Grocery,6014.73,Cash,REFUNDED
20,88,16,2025-05-24,Home,10819.52,Cash,SUCCESS
21,59,17,2025-11-13,Electronics,67428.25,Cash,SUCCESS
22,87,35,2024-06-10,Electronics,33185.56,NetBanking,REFUNDED
23,39,41,2025-03-10,Software,18832.36,NetBanking,SUCCESS
24,50,31,2024-04-19,Grocery,28664.19,NetBanking,REFUNDED
25,38,45,2024-10-29,Electronics,73348.04,Cash,SUCCESS
26,2,37,2025-12-03,Software,73022.85,Cash,SUCCESS
27,100,15,2025-09-13,Travel,16503.44,Card,REFUNDED
28,33,44,2025-11-06,Software,62891.45,UPI,SUCCESS
29,40,29,2024-02-04,Home,27428.11,Card,SUCCESS
30,38,21,2025-03-01,Grocery,15139.53,NetBanking,REFUNDED
31,65,18,2024-06-17,Travel,68562.27,Cash,SUCCESS
32,96,22,2024-04-27,Fashion,72220.71,Card,SUCCESS
33,87,47,2025-11-21,Fashion,72548.5,NetBanking,SUCCESS
34,51,1,2024-09-27,Home,9356.8,NetBanking,SUCCESS
35,75,25,2025-10-15,Travel,8215.12,Card,FAILED
36,4,40,2025-07-28,Travel,68652.67,Card,SUCCESS
37,82,30,2025-12-18,Travel,48728.03,UPI,SUCCESS
38,6,3,2024-11-07,Fashion,8797.42,Card,REFUNDED
39,18,25,2025-04-09,Travel,50319.42,Cash,REFUNDED
40,96,47,2024-06-07,Fashion,49153.65,Cash,REFUNDED
41,53,18,2024-02-03,Software,27852.69,Cash,FAILED
42,31,24,2024-04-11,Software,27613.39,NetBanking,SUCCESS
43,51,18,2024-07-13,Electronics,71180.91,Cash,SUCCESS
44,85,14,2025-10-19,Software,44826.23,UPI,SUCCESS
45,43,16,2024-05-08,Home,15469.9,Card,REFUNDED
